|post_id|post_text|comment_id|comment_text|author_name|favorite_count|retweet_count
16|1348740897803005957|"Hey, parents 👋
You can now share music playlists with your little ones in the Spotify Kids app 🥳 https://t.co/xtZEHy7IjX"|1349029055748837377|@Spotify why you just removed part of oh my girl discography😭|livia|0|0
17|1348740897803005957|"Hey, parents 👋
You can now share music playlists with your little ones in the Spotify Kids app 🥳 https://t.co/xtZEHy7IjX"|1349011849963065345|@Spotify Fix iOS add image you never put it on there I’ve been waiting over a month|Cody Flynn|0|0
18|1348740897803005957|"Hey, parents 👋
You can now share music playlists with your little ones in the Spotify Kids app 🥳 https://t.co/xtZEHy7IjX"|1348893740979679234|@Spotify @Spotify legalize spotify in Kyrgyzstan please !!!! #SpotifyInKyrgyzstan 🥺🥺|rene riki ルネ|1|0
19|1348740897803005957|"Hey, parents 👋
You can now share music playlists with your little ones in the Spotify Kids app 🥳 https://t.co/xtZEHy7IjX"|1348861133218742272|@Spotify 😎 https://t.co/6qQofv6qRb|v|1|0
20|1348740897803005957|"Hey, parents 👋
You can now share music playlists with your little ones in the Spotify Kids app 🥳 https://t.co/xtZEHy7IjX"|1348855059258478592|@Spotify Hey bestie look!! https://t.co/UZF4TH05L0|suck my d!ck ◟̽◞̽|0|0
21|1348719238358290435|What's your sign? 🌙|1349202634977153030|@Spotify Cancer ♋|Rishu|0|0
22|1348719238358290435|What's your sign? 🌙|1349186673683406850|@Spotify Taurus|Rae Rozay Gully|0|0
23|1348719238358290435|What's your sign? 🌙|1349173249289068544|@Spotify Cancer|Fernanda H.|0|0
24|1348719238358290435|What's your sign? 🌙|1349081337085489155|@Spotify leo sun aquarius moon|abi|0|0
25|1348719238358290435|What's your sign? 🌙|1349064173142085638|@Spotify Libra sun Leo moon Virgo rising|White Coats And Limousines|0|0
26|1348719238358290435|What's your sign? 🌙|1349021629813321729|@Spotify TAURAS ♉️|ihateyou|0|0
27|1348719238358290435|What's your sign? 🌙|1349002690811072512|@Spotify Virgo|Mia_stewart|0|0
28|1348719238358290435|What's your sign? 🌙|1348971239017222151|@Spotify Gemini|Adriana|0|0
29|1348719238358290435|What's your sign? 🌙|1348926201868525570|@Spotify Gemini ♊ https://t.co/YSS4Iw0Iy1|Lk|0|0
30|1348719238358290435|What's your sign? 🌙|1348911672598040576|@Spotify CANCER!!|HP⁷_I'M A FAN OF GRAMMY NOMINATED ARTIST 방탄 소년단👑|1|0
31|1348719238358290435|What's your sign? 🌙|1348904846510989312|@Spotify Virgo 😊|noa‘s thoughts|0|0
32|1348719238358290435|What's your sign? 🌙|1348858651897860101|"@Spotify I Recommendation a song from @5ecretNumber with song ""Who Dis?"" Play &amp; listen the song here
https://t.co/pltY6J74Rf"|BR|0|0
33|1348719238358290435|What's your sign? 🌙|1348858587607564290|"@Spotify I Recommendated a song from @5ecretNumber with song ""Holiday."" play &amp; listen the song here.
https://t.co/pi2Q4zMlOg"|BR|0|0
34|1348719238358290435|What's your sign? 🌙|1348857917190008832|"@Spotify I Recommendated a song from @5ecretNumber with song ""Privacy."" play &amp; listen the song here.
https://t.co/QmbF4wVk3H"|BR|1|0
35|1348719238358290435|What's your sign? 🌙|1348857386174320640|"@Spotify I Recommendated a song from @5ecretNumber ""Got That Boom"" play &amp; listen the song here
https://t.co/Ak2u4KLXPE"|BR|1|0
36|1348719238358290435|What's your sign? 🌙|1348825936154800134|@Spotify Pisces sun, Pisces moon.|CB|0|0
37|1348719159845158912|"Her moon is in Leo, her Cancer is sun ✨ @LanaDelRey dives into the mystic with #ChemtrailsOverTheCountryClub 
https://t.co/kuM5KGOh6r"|1349119382857928708|@Spotify @IamGusti @LanaDelRey hi spotify! please add this to playlists :)|arely onate|1|0
38|1348719159845158912|"Her moon is in Leo, her Cancer is sun ✨ @LanaDelRey dives into the mystic with #ChemtrailsOverTheCountryClub 
https://t.co/kuM5KGOh6r"|1349068362710704129|@Spotify @LanaDelRey 😍😍😍😍😍😍|C A M I L A|0|0
39|1348719159845158912|"Her moon is in Leo, her Cancer is sun ✨ @LanaDelRey dives into the mystic with #ChemtrailsOverTheCountryClub 
https://t.co/kuM5KGOh6r"|1349037406230618114|@Spotify @LanaDelRey exactly spotify|🛸|0|0
40|1348719159845158912|"Her moon is in Leo, her Cancer is sun ✨ @LanaDelRey dives into the mystic with #ChemtrailsOverTheCountryClub 
https://t.co/kuM5KGOh6r"|1349029214662647813|@Spotify @LanaDelRey WATCH CHEMTRAILS|luane|0|0
41|1348719159845158912|"Her moon is in Leo, her Cancer is sun ✨ @LanaDelRey dives into the mystic with #ChemtrailsOverTheCountryClub 
https://t.co/kuM5KGOh6r"|1349010110371213314|@Spotify @LanaDelRey mood.|this little shit agh🦋|0|0
42|1348719159845158912|"Her moon is in Leo, her Cancer is sun ✨ @LanaDelRey dives into the mystic with #ChemtrailsOverTheCountryClub 
https://t.co/kuM5KGOh6r"|1348979423484260352|@Spotify @LanaDelRey that still makes no sense https://t.co/xevZj54isn|karim ?|0|0
43|1348719159845158912|"Her moon is in Leo, her Cancer is sun ✨ @LanaDelRey dives into the mystic with #ChemtrailsOverTheCountryClub 
https://t.co/kuM5KGOh6r"|1348967026568605696|@Spotify @LanaDelRey OMFG ! This the most stunning, beautiful piece I've ever heard. #1 Please God.|Fin|0|0
44|1348719159845158912|"Her moon is in Leo, her Cancer is sun ✨ @LanaDelRey dives into the mystic with #ChemtrailsOverTheCountryClub 
https://t.co/kuM5KGOh6r"|1348882769712082946|@Spotify @LanaDelRey ICONIC|nico|0|0
45|1348719159845158912|"Her moon is in Leo, her Cancer is sun ✨ @LanaDelRey dives into the mystic with #ChemtrailsOverTheCountryClub 
https://t.co/kuM5KGOh6r"|1348871648930267140|@Spotify @LanaDelRey BUY CHEMTRAILS OVER THE COUNTRY CLUB ON ITUNESBUY CHEMTRAILS OVER THE COUNTRY CLUB ON ITUNESBU… https://t.co/380i7oWV6Q|Harshit COCC/Evermore ERA 🧡|4|0
46|1348719159845158912|"Her moon is in Leo, her Cancer is sun ✨ @LanaDelRey dives into the mystic with #ChemtrailsOverTheCountryClub 
https://t.co/kuM5KGOh6r"|1348858424369418241|"@Spotify I Recommendation a song from @5ecretNumber with song ""Who Dis?"" Play &amp; listen the song here
https://t.co/pltY6J74Rf"|BR|1|0
